Symbol: USD_SGD, Type: CURRENCY
Symbol: EUR_SEK, Type: CURRENCY
Symbol: HKD_JPY, Type: CURRENCY
Symbol: AUD_USD, Type: CURRENCY
Symbol: USD_CAD, Type: CURRENCY
Symbol: US2000_USD, Type: CFD
Symbol: USB10Y_USD, Type: CFD
Symbol: NZD_USD, Type: CURRENCY
Symbol: XAG_EUR, Type: METAL
Symbol: XAG_GBP, Type: METAL
Symbol: HK33_HKD, Type: CFD
Symbol: LTC_USD, Type: CFD
Symbol: NZD_SGD, Type: CURRENCY
Symbol: USD_NOK, Type: CURRENCY
Symbol: USD_CNH, Type: CURRENCY
Symbol: USB02Y_USD, Type: CFD
Symbol: XCU_USD, Type: CFD
Symbol: SGD_CHF, Type: CURRENCY
Symbol: SPX500_USD, Type: CFD
Symbol: GBP_JPY, Type: CURRENCY
Symbol: USD_TRY, Type: CURRENCY
Symbol: AUD_JPY, Type: CURRENCY
Symbol: CN50_USD, Type: CFD
Symbol: ZAR_JPY, Type: CURRENCY
Symbol: XAG_JPY, Type: METAL
Symbol: ETH_USD, Type: CFD
Symbol: SGD_JPY, Type: CURRENCY
Symbol: GBP_ZAR, Type: CURRENCY
Symbol: USD_JPY, Type: CURRENCY
Symbol: EUR_TRY, Type: CURRENCY
Symbol: BTC_USD, Type: CFD
Symbol: EUR_JPY, Type: CURRENCY
Symbol: AUD_SGD, Type: CURRENCY
Symbol: XAG_NZD, Type: METAL
Symbol: WTICO_USD, Type: CFD
Symbol: XAG_AUD, Type: METAL
Symbol: EUR_NZD, Type: CURRENCY
Symbol: GBP_HKD, Type: CURRENCY
Symbol: CHF_JPY, Type: CURRENCY
Symbol: EUR_HKD, Type: CURRENCY
Symbol: GBP_CAD, Type: CURRENCY
Symbol: XAU_HKD, Type: METAL
Symbol: XAU_JPY, Type: METAL
Symbol: USD_THB, Type: CURRENCY
Symbol: GBP_CHF, Type: CURRENCY
Symbol: AUD_CHF, Type: CURRENCY
Symbol: ESPIX_EUR, Type: CFD
Symbol: NZD_CHF, Type: CURRENCY
Symbol: AUD_HKD, Type: CURRENCY
Symbol: XAG_HKD, Type: METAL
Symbol: USD_CHF, Type: CURRENCY
Symbol: XAG_CHF, Type: METAL
Symbol: BCH_USD, Type: CFD
Symbol: CAD_HKD, Type: CURRENCY
Symbol: CH20_CHF, Type: CFD
Symbol: XAU_SGD, Type: METAL
Symbol: CORN_USD, Type: CFD
Symbol: EUR_CHF, Type: CURRENCY
Symbol: EUR_SGD, Type: CURRENCY
Symbol: NZD_CAD, Type: CURRENCY
Symbol: CHINAH_HKD, Type: CFD
Symbol: GBP_AUD, Type: CURRENCY
Symbol: USD_PLN, Type: CURRENCY
Symbol: EUR_ZAR, Type: CURRENCY
Symbol: NAS100_USD, Type: CFD
Symbol: TRY_JPY, Type: CURRENCY
Symbol: SOYBN_USD, Type: CFD
Symbol: XAU_XAG, Type: METAL
Symbol: AU200_AUD, Type: CFD
Symbol: XAU_CAD, Type: METAL
Symbol: EU50_EUR, Type: CFD
Symbol: EUR_AUD, Type: CURRENCY
Symbol: NL25_EUR, Type: CFD
Symbol: USD_ZAR, Type: CURRENCY
Symbol: CAD_JPY, Type: CURRENCY
Symbol: NZD_HKD, Type: CURRENCY
Symbol: XAU_NZD, Type: METAL
Symbol: USD_CZK, Type: CURRENCY
Symbol: USD_DKK, Type: CURRENCY
Symbol: XAU_GBP, Type: METAL
Symbol: USD_SEK, Type: CURRENCY
Symbol: GBP_SGD, Type: CURRENCY
Symbol: EUR_DKK, Type: CURRENCY
Symbol: BCO_USD, Type: CFD
Symbol: CHF_ZAR, Type: CURRENCY
Symbol: CAD_CHF, Type: CURRENCY
Symbol: XAG_SGD, Type: METAL
Symbol: XAU_CHF, Type: METAL
Symbol: GBP_USD, Type: CURRENCY
Symbol: USD_MXN, Type: CURRENCY
Symbol: USD_HUF, Type: CURRENCY
Symbol: JP225_USD, Type: CFD
Symbol: USD_HKD, Type: CURRENCY
Symbol: EUR_USD, Type: CURRENCY
Symbol: SG30_SGD, Type: CFD
Symbol: EUR_CAD, Type: CURRENCY
Symbol: XAG_CAD, Type: METAL
Symbol: XPT_USD, Type: CFD
Symbol: XAU_EUR, Type: METAL
Symbol: DE30_EUR, Type: CFD
Symbol: UK10YB_GBP, Type: CFD
Symbol: XPD_USD, Type: CFD
Symbol: NATGAS_USD, Type: CFD
Symbol: AUD_CAD, Type: CURRENCY
Symbol: GBP_PLN, Type: CURRENCY
Symbol: DE10YB_EUR, Type: CFD
Symbol: EUR_PLN, Type: CURRENCY
Symbol: SUGAR_USD, Type: CFD
Symbol: GBP_NZD, Type: CURRENCY
Symbol: EUR_HUF, Type: CURRENCY
Symbol: UK100_GBP, Type: CFD
Symbol: JP225Y_JPY, Type: CFD
Symbol: XAU_USD, Type: METAL
Symbol: EUR_NOK, Type: CURRENCY
Symbol: US30_USD, Type: CFD
Symbol: CHF_HKD, Type: CURRENCY
Symbol: FR40_EUR, Type: CFD
Symbol: EUR_GBP, Type: CURRENCY
Symbol: AUD_NZD, Type: CURRENCY
Symbol: CAD_SGD, Type: CURRENCY
Symbol: WHEAT_USD, Type: CFD
Symbol: XAU_AUD, Type: METAL
Symbol: EUR_CZK, Type: CURRENCY
Symbol: NZD_JPY, Type: CURRENCY
Symbol: USB05Y_USD, Type: CFD
Symbol: USB30Y_USD, Type: CFD
Symbol: XAG_USD, Type: METAL
